case_id;case_name;case_short_name;status;label;description;notes;foedt_i_danmark;boet_det_meste_af_deres_liv_i_danmark;arbejder_i_danmark;dansk_partner_boern;dansk_juridisk_status;dansk_slaegt;skandinavisk_dna;dansk_navn;kan_tale_dansk;taler_korrekt_dansk;danske_skikke;liberale_vaerdier;selvopfattelse;kan_taale_maelk
__category_name;;;;;;;Født i Danmark;Boet i Danmark;Arbejder i Danmark;Dansk partner/børn;Dansk juridisk status;dansk slægt;Skandinavisk DNA;Dansk navn;Kan tale dansk;Taler grammatisk korrekt dansk;Danske skikke;Frihed, demokrati og kvinderettigheder;Selvopfatter sig som dansk;Kan tåle mælk
__category_short_name;;;;;;;Fødested;Bopæl;Arbejde;Familie;Jura;Slægt;DNA;Navn;Sprog;Korrekt sprog;Skikke;Værdier;Selvvalg;Mælk
__category_color;;;;;;;#fb7185;#48d4ff;#38bdf8;#7dd3fc;#86efac;#ffc14d;#f9a8d4;#c4b5fd;#48d4ff;#60a5fa;#ff8a4c;#2ee59d;#c084fc;#fef3c7
__category_description;;;;;;;Personen er født i Danmark.;Personen har boet det meste af deres liv i Danmark.;Personen har arbejdet i Danmark længe.;Personen har dansk partner eller danske børn.;Personen har dansk juridisk status;Personen har dansk slægt;Personen har skandinavisk genetisk ophav.;Personen har et navn, der normalt opfattes som dansk.;Personen kan tale dansk.;Personen taler dansk grammatisk korrekt.;Personen deltager i danske skikke, jul, fødselsdage med Dannebrog og lignende.;Personen deler værdier om frihed, demokrati og kvinderettigheder.;Personen opfatter sig selv som dansk.;Personen kan tåle mælk.
dk_descent_resident;Bor i Danmark og har dansk slægt;DK slægt+bopæl;danish;klar_positiv;Klar positiv anker-case.;Bor i Danmark og har dansk slægt.;1;1;1;1;1;1;1;1;1;1;1;1;1;1
hc_andersen;H.C. Andersen;HCA;danish;klar_positiv;Klar positiv historisk case.;Ikke moderne CPR-logik, men dansk slægt, sprog, kultur og social anerkendelse.;1;1;1;1;0;1;1;1;1;1;1;0;1;1
infant_danish_descent;Spædbarn med dansk slægt;Spædbarn;danish;klar_positiv;Klar positiv efter slægt og juridisk/familie-tilknytning.;Taler ikke dansk og har ikke formulerede værdier endnu.;1;1;0;1;0;1;1;1;0;0;0;0;0;0
coma_person;Person i koma;Koma;danish;klar_positiv;Tester om sprog og værdier skal være aktuelle eller biografiske.;Her bevares biografiske og sociale egenskaber.;1;1;0;1;1;1;1;1;0;0;0;0;0;1
swede_values_language;Svensker der taler dansk og deler danske værdier;Svensker;not_danish;klar_negativ;Klar negativ anker-case efter slægtslogikken.;Matcher sprog og værdier, men ikke dansk slægt eller dansk livsbiografi.;0;0;0;0;0;0;1;0;1;1;1;1;0;1
swede_adopted;Lyshåret svensker adopteret som spæd;Svensk adoptiv;unclear;uklar;Adopteret som spæd til dansk familie og givet dansk navn.;Stærk social danskhed, svag på dansk slægt.;0;1;1;1;1;0;1;1;1;1;1;1;1;1
