type,id,name,amount,active,color,p_work,p_high_paid_given_work,p_theft,p_tax_fraud,p_welfare_fraud,p_aggravated_violence,p_rape,p_murder,value,unit,note
group,danish_origin,Dansk oprindelse (DST-definition),10000,1,#48d4ff,0.812000,0.270935961,0.001305000,0.000072800,0.000091000,0.000090000,0.000023400,0.000003600,,,"OFFICIELT + AFLEDT. Beskæftigelse: 81,2 pct. for 30-66-årige med dansk oprindelse, november 2024. Høj indkomst: 22 pct. af 30-59-årige med dansk oprindelse lå i femte indkomstkvintil i 2023. Appens betingede værdi er 22/81,2 = 27,1 pct. Kriminalitet: sandsynlighederne er modelestimater skaleret med Danmarks Statistiks alderskorrigerede indeks for mænd 15-79 år i 2024: ejendomsforbrydelser 87, voldsforbrydelser 90 og særlove 91. Indeksene er officielle, men de seks konkrete års-sandsynligheder er ikke direkte officielle tal."
group,romania_origin,Rumænien,10000,1,#ff8a4c,0.770000,0.233766234,0.003675000,0.000095200,0.000119000,0.000046000,0.000011960,0.000001840,,,"OFFICIELT + AFLEDT. Beskæftigelse: 77 pct. blandt 30-64-årige indvandrere fra Rumænien i 2024. Høj indkomst bruger den officielle brede proxy for vestlige indvandrere: 18 pct. i femte indkomstkvintil i 2023; appens betingede værdi er 18/77 = 23,4 pct. Kriminalitet: officielle alderskorrigerede indeks for mandlige indvandrere fra Rumænien, 15-79 år, 2024: ejendom 245, vold 46 og særlove 119. De konkrete års-sandsynligheder er afledte modelestimater."
group,somalia_origin,Somalia,10000,1,#ff4f7a,0.494000,0.182186235,0.008190000,0.000286400,0.000358000,0.000622000,0.000161720,0.000024880,,,"OFFICIELT + AFLEDT. Beskæftigelse: 49,4 pct. for 30-66-årige med somalisk oprindelse, november 2024. Høj indkomst bruger den officielle brede proxy for ikke-vestlige indvandrere: 9 pct. i femte indkomstkvintil i 2023; appens betingede værdi er 9/49,4 = 18,2 pct. Kriminalitet: officielle alderskorrigerede indeks for mandlige indvandrere fra Somalia, 15-79 år, 2024: ejendom 546, vold 622 og særlove 358. De konkrete års-sandsynligheder er afledte modelestimater."
group,palestinian_lebanon_proxy,Palæstinensere (Libanon-proxy),10000,1,#c084fc,0.499000,0.180360721,0.005895000,0.000227200,0.000284000,0.000417000,0.000108420,0.000016680,,,"PROXY, IKKE EN DIREKTE PALÆSTINENSISK KATEGORI. Danmarks Statistik opgør ikke Palæstina som selvstændigt oprindelsesland i disse tabeller. Beskæftigelse: 49,9 pct. for 30-66-årige med oprindelse i Libanon, inklusive palæstinensere, november 2024. Høj indkomst bruger 9 pct. for ikke-vestlige indvandrere; den betingede modelværdi er 9/49,9 = 18,0 pct. Kriminalitet: officielle indeks for mandlige indvandrere fra Libanon, hvor en del er statsløse palæstinensere: ejendom 393, vold 417 og særlove 284. Resultatet må ikke omtales som et direkte tal for alle palæstinensere."
group,japan_origin,Japan,10000,1,#2ee59d,0.613000,0.146818923,0.000555000,0.000029600,0.000037000,0.000037000,0.000009620,0.000001480,,,"OFFICIEL BESKÆFTIGELSE, ØVRIGE PROXYER. Beskæftigelse: 61,3 pct. for 30-66-årige med japansk oprindelse, november 2024, befolkning 1.200. Høj indkomst bruger den brede officielle proxy for ikke-vestlige indvandrere: 9 pct. i femte indkomstkvintil; den betingede modelværdi er 9/61,3 = 14,7 pct. Japan har ikke et offentliggjort landespecifikt indeks i rapportens kategoriopdeling. Appen bruger derfor Kinas samlede indeks 37 som en tydeligt markeret lavtillidsproxy på tværs af kriminalitetstyper. Dette er ikke direkte japansk kriminalitetsstatistik."
rate,unemployed,Arbejdsløs,,1,,,,,,,,,,250000,DKK pr. personår,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for arbejdsløs. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,employed,Arbejde,,1,,,,,,,,,,-150000,DKK pr. personår,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for arbejde. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,high_paid,Højtbetalt arbejde,,1,,,,,,,,,,-350000,DKK pr. personår,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for højtbetalt arbejde. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,theft,Tyveri,,1,,,,,,,,,,50000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for tyveri. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,tax_fraud,Skattesvig,,1,,,,,,,,,,150000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for skattesvig. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,welfare_fraud,Socialt bedrageri,,1,,,,,,,,,,100000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for socialt bedrageri. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,aggravated_violence,Grov vold,,1,,,,,,,,,,1500000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for grov vold. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,rape,Voldtægt,,1,,,,,,,,,,2500000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for voldtægt. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
rate,murder,Mord,,1,,,,,,,,,,15000000,DKK pr. hændelse,SCENARIESATS. Der findes ikke én officiel universel dansk enhedspris for mord. Beløbet er fortsat redigerbart og må ikke præsenteres som officiel statistik.
